rank,stadium,capacity,city,state,year_opened,type,tenant(s),image,location
155,Martin Stadium,32952,Pullman,Washington,1972,Football,"Washington State Cougars (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/WSUMartinStadium-08-16-2012.jpg/150px-WSUMartinStadium-08-16-2012.jpg,"[46.73180345, 46.73180345]"
156,Gerald J. Ford Stadium,32000,University Park,Texas,2000,Football,SMU Mustangs (NCAA)First Responder Bowl (NCAA),No Image,"[32.8380587, 32.8380587]"
157,Truist Field,31500,Winston-Salem,North Carolina,1968,Football,Wake Forest Demon Deacons (NCAA),No Image,"[36.13057185, 36.13057185]"
158,DATCU Stadium,30850,Denton,Texas,2011,Football,"North Texas Mean Green (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Southern_Methodist_vs._North_Texas_football_2018_03_%28Green_Brigade_Marching_Band%29.jpg/150px-Southern_Methodist_vs._North_Texas_football_2018_03_%28Green_Brigade_Marching_Band%29.jpg,"[33.2039363, 33.2039363]"
159,"Johnny ""Red"" Floyd Stadium",30788,Murfreesboro,Tennessee,1933,Football,Middle Tennessee Blue Raiders (NCAA),No Image,"[35.85128735, 35.85128735]"
160,Joan C. Edwards Stadium,30475,Huntington,West Virginia,1991,Football,"Marshall Thundering Herd (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Striping_the_Joan_C._Edwards_Stadium.jpg/150px-Striping_the_Joan_C._Edwards_Stadium.jpg,"[38.4248685, 38.4248685]"
161,Veterans Memorial Stadium,30470,Troy,Alabama,1950,Football,"Troy Trojans (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/The_Vet_12.jpg/150px-The_Vet_12.jpg,"[31.7996004, 31.7996004]"
162,Centennial Bank Stadium,30406,Jonesboro,Arkansas,1974,Football,Arkansas State Red Wolves (NCAA),No Image,"[35.84885975, 35.84885975]"
163,Harvard Stadium,30323,Allston,Massachusetts,1903,Football,"Harvard Crimson (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Harvard_stadium_2009h.JPG/150px-Harvard_stadium_2009h.JPG,"[42.366736, 42.366736]"
164,Kelly/Shorts Stadium,30255,Mount Pleasant,Michigan,1972,Football,"Central Michigan Chippewas (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Kelly_Shorts_Stadium.jpg/150px-Kelly_Shorts_Stadium.jpg,"[43.57762285, 43.57762285]"
165,Waldo Stadium,30200,Kalamazoo,Michigan,1939,Football,Western Michigan Broncos (NCAA),No Image,"[42.28576205, 42.28576205]"
166,Rynearson Stadium,30200,Ypsilanti,Michigan,1969,Football,Eastern Michigan Eagles (NCAA),No Image,"[42.2558724, 42.2558724]"
167,Jonah Field at War Memorial Stadium,30181,Laramie,Wyoming,1950,Football,"Wyoming Cowboys (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/War_Memorial_Stadium_%28Laramie%2C_Wyoming%29.tif/lossy-page1-150px-War_Memorial_Stadium_%28Laramie%2C_Wyoming%29.tif.jpg,"[41.31173415, 41.31173415]"
168,Jim Wacker Field at Bobcat Stadium,30008,San Marcos,Texas,1981,Football,"Texas State Bobcats (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Texas_State%27_Bobcat_Stadium_Wide_View.JPG/150px-Texas_State%27_Bobcat_Stadium_Wide_View.JPG,
169,HA Chapman Stadium,30000,Tulsa,Oklahoma,1930,Football,"Tulsa Golden Hurricane (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/HA-Chapman-Stadium-Tulsa.JPG/150px-HA-Chapman-Stadium-Tulsa.JPG,"[36.14866265, 36.14866265]"
170,Kidd Brewer Stadium,30000,Boone,North Carolina,1962,Football,Appalachian State Mountaineers (NCAA),No Image,"[36.21148865, 36.21148865]"
171,"William ""Dick"" Price Stadium",30000,Norfolk,Virginia,1997,Football,"Norfolk State Spartans (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Dick_Price_Stadium_2018.jpg/150px-Dick_Price_Stadium_2018.jpg,"[36.84739215, 36.84739215]"
172,InfoCision Stadium – Summa Field,30000,Akron,Ohio,2009,Football,Akron Zips (NCAA),No Image,
173,Benson Field at Yulman Stadium,30000,New Orleans,Louisiana,2014,Football,Tulane Green Wave (NCAA),No Image,
174,Geodis Park,30000,Nashville,Tennessee,2022,Soccer,Nashville SC (MLS),No Image,"[36.1301519, 36.1301519]"
175,FAU Stadium,29571,Boca Raton,Florida,2011,Football,"Florida Atlantic Owls (NCAA) Boca Raton Bowl (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/FAUStadium_night.jpg/150px-FAUStadium_night.jpg,"[26.37629495, 26.37629495]"
176,Aggie Memorial Stadium,28853,Las Cruces,New Mexico,1978,Football,"New Mexico State Aggies (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Aggie_Memorial_Stadium_-_West_Side_Stands_%26_Press_Box_01.JPG/150px-Aggie_Memorial_Stadium_-_West_Side_Stands_%26_Press_Box_01.JPG,
177,Joe Aillet Stadium,28562,Ruston,Louisiana,1960,Football,Louisiana Tech Bulldogs (NCAA),No Image,"[32.53201365, 32.53201365]"
178,Princeton Stadium,27773,Princeton,New Jersey,1998,Football,Princeton Tigers (NCAA),No Image,"[40.345776, 40.345776]"
179,Malone Stadium,27617,Monroe,Louisiana,1978,Football,"Louisiana–Monroe Warhawks (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Malone_Stadium_panorama.jpg/150px-Malone_Stadium_panorama.jpg,"[32.53089925, 32.53089925]"
180,Mackay Stadium,27000,Reno,Nevada,1966,Football,Nevada Wolf Pack (NCAA),No Image,"[39.5468915, 39.5468915]"
181,Dignity Health Sports Park Soccer Stadium,27000,Carson,California,2003,Soccer,"Los Angeles Galaxy (MLS), RFCLA (Major League Rugby)
",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/LA_Galaxy_vs_Houston_Dynamo-_Western_Conference_Finals_panorama.jpg/150px-LA_Galaxy_vs_Houston_Dynamo-_Western_Conference_Finals_panorama.jpg,"[33.8642391, 33.8642391]"
182,ASU Stadium,26500,Montgomery,Alabama,2012,Football,Alabama State Hornets (NCAA),No Image,"[32.36425295, 32.36425295]"
183,Tad Gormley Stadium,26500,New Orleans,Louisiana,1936,Multipurpose,,No Image,"[29.98987455, 29.98987455]"
184,The Glass Bowl,26038,Toledo,Ohio,1937,Football,Toledo Rockets (NCAA),No Image,
185,TQL Stadium,25513,Cincinnati,Ohio,2021,Soccer,"FC Cincinnati (MLS)
",https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Tql-stadium_world-cup-qualifier_usmnt-v-mexico_11-12-2021_1903.jpg/150px-Tql-stadium_world-cup-qualifier_usmnt-v-mexico_11-12-2021_1903.jpg,"[39.1114126, 39.1114126]"
186,Inter&Co Stadium,25500,Orlando,Florida,2017,Soccer,"Orlando City SC (MLS)Orlando Pride (NWSL)
",https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Orlando_City_Stadium_%2804-21-18%29_1.jpg/150px-Orlando_City_Stadium_%2804-21-18%29_1.jpg,"[28.541115, 28.541115]"
187,Ace W. Mumford Stadium,25500,Baton Rouge,Louisiana,1928,Football,Southern Jaguars (NCAA),No Image,
188,Hancock Whitney Stadium,25450,Mobile,Alabama,2020,Football,South Alabama Jaguars (NCAA)68 Ventures Bowl (NCAA)Senior Bowl (NCAA),No Image,"[30.69693195, 30.69693195]"
189,Dix Stadium,2531943,Kent,Ohio,1969,Football,"Kent State Golden Flashes (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Dix_Stadium_west.JPG/150px-Dix_Stadium_west.JPG,"[41.13902745, 41.13902745]"
190,Providence Park,25218,Portland,Oregon,1926,Soccer,"Portland Timbers (MLS)Portland Thorns (NWSL) Portland State Vikings (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Providence_Park_New_Overhang.jpg/150px-Providence_Park_New_Overhang.jpg,"[45.5215291, 45.5215291]"
191,Washington–Grizzly Stadium,25217,Missoula,Montana,1986,Football,Montana Grizzlies (NCAA),No Image,"[46.8639864, 46.8639864]"
192,Maverik Stadium,25100,Logan,Utah,1968,Football,Utah State Aggies (NCAA),No Image,"[41.7519374, 41.7519374]"
193,UB Stadium,25013,Amherst,New York,1993,Football,Buffalo Bulls (NCAA),No Image,"[42.99905865, 42.99905865]"
194,Red Bull Arena,25000,Harrison,New Jersey,2010,Soccer,"New York Red Bulls (MLS)Gotham FC (NWSL)
",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Red_Bull_Arena_Harrison_behind_goal.jpg/150px-Red_Bull_Arena_Harrison_behind_goal.jpg,"[40.7368897, 40.7368897]"
195,Paulson Stadium,25000,Statesboro,Georgia,1984,Football,Georgia Southern Eagles (NCAA),No Image,"[32.4121444, 32.4121444]"
196,Williams Stadium,25000,Lynchburg,Virginia,1989,Football,Liberty Flames (NCAA),No Image,"[37.3543075, 37.3543075]"
197,Cramton Bowl,25000,Montgomery,Alabama,1922,Football,Camellia Bowl (NCAA) Local high school teams,No Image,"[32.37948585, 32.37948585]"
198,Bridgeforth Stadium,24877,Harrisonburg,Virginia,1975,Football,James Madison Dukes (NCAA),No Image,"[38.4351564, 38.4351564]"
199,Charles Schwab Field Omaha,24505,Omaha,Nebraska,2011,Baseball,"Creighton Bluejays (NCAA) College World Series (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/TD_Ameritrade_Park_Omaha1.jpg/150px-TD_Ameritrade_Park_Omaha1.jpg,"[41.2669678, 41.2669678]"
200,Center Parc Stadium,24333,Atlanta,Georgia,1996,Football,Georgia State Panthers (NCAA),No Image,"[33.7355267, 33.7355267]"
201,Fred C. Yager Stadium,24286,Oxford,Ohio,1983,Football,Miami RedHawks (NCAA),No Image,"[39.51941475, 39.51941475]"
202,Doyt L. Perry Stadium,24000,Bowling Green,Ohio,1966,Football,Bowling Green Falcons (NCAA),No Image,"[41.3780256, 41.3780256]"
203,Don Peden Stadium,24000,Athens,Ohio,1929,Football,Ohio Bobcats (NCAA),No Image,
204,JSU Stadium,24000,Jacksonville,Alabama,1947,Football,Jacksonville State Gamecocks (NCAA),No Image,"[33.8203675, 33.8203675]"
205,Brigham Field at Huskie Stadium,24000,DeKalb,Illinois,1965,Football,Northern Illinois Huskies (NCAA),No Image,
206,Houchens Industries–LT Smith Stadium,23776,Bowling Green,Kentucky,1968,Football,Western Kentucky Hilltoppers (NCAA),No Image,"[36.98479165, 36.98479165]"
207,Arthur Ashe Stadium,23711,New York,New York,1997,Tennis,"U.S. Open
",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Arthur_Ashe_Stadium_with_the_roof_closed_%2832938595438%29.jpg/150px-Arthur_Ashe_Stadium_with_the_roof_closed_%2832938595438%29.jpg,"[40.74989615, 40.74989615]"
208,Fitton Field,23500,Worcester,Massachusetts,1924,Football,Holy Cross Crusaders (NCAA),No Image,
209,Tom Benson Hall of Fame Stadium,23000,Canton,Ohio,1938,Football,Pro Football Hall of Fame Game (NFL) Canton McKinley Bulldogs (High School),No Image,"[40.8198753, 40.8198753]"
210,City Stadium,22611,Richmond,Virginia,1929,Soccer,Richmond Kickers (USL League One),No Image,"[37.54978795, 37.54978795]"
211,Jack Spinks Stadium,22500,Lorman,Mississippi,1992,Football,Alcorn State Braves (NCAA),No Image,
212,John B. and June M. Scheumann Stadium,22500,Muncie,Indiana,1967,Football,Ball State Cardinals (NCAA),No Image,
213,CityPark,22423,St. Louis,Missouri,2022,Soccer,St. Louis City SC (MLS),No Image,"[38.6305994, 38.6305994]"
214,Weingart Stadium,22355,Monterey Park,California,1955,Multipurpose,East Los Angeles Huskies (CCCAA),No Image,"[34.0428232, 34.0428232]"
215,Shell Energy Stadium,22039,Houston,Texas,2012,Soccer,"Houston Dynamo (MLS) Texas Southern Tigers (NCAA)Houston Dash (NWSL)
",https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/PNC_Stadium_Skyline_View.jpg/150px-PNC_Stadium_Skyline_View.jpg,"[29.7520265, 29.7520265]"
216,Oliver C. Dawson Stadium,22000,Orangeburg,South Carolina,1955,Football,South Carolina State Bulldogs (NCAA),No Image,"[33.49864995, 33.49864995]"
217,BMO Stadium,22000,Los Angeles,California,2018,Soccer,"
Los Angeles FC (MLS)Angel City FC (NWSL)

",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/LAFC_East_Side_Stadium_interior.jpg/150px-LAFC_East_Side_Stadium_interior.jpg,"[34.012814, 34.012814]"
218,Delaware Stadium,22000,Newark,Delaware,1952,Football,Delaware Fightin' Blue Hens (NCAA),No Image,"[39.6616707, 39.6616707]"
219,Kornblau Field at S.B. Ballard Stadium,21944,Norfolk,Virginia,1936,Football,Old Dominion Monarchs (NCAA),No Image,
220,CEFCU Stadium,21520,San Jose,California,1933,Football,San Jose State Spartans (NCAA),No Image,"[37.3196895, 37.3196895]"
221,Schoellkopf Field,21500,Ithaca,New York,1915,Football,Cornell Big Red (NCAA),No Image,"[42.44402175, 42.44402175]"
222,BREC Memorial Stadium,21500,Baton Rouge,Louisiana,1956,Football,Local high school teams,No Image,"[30.4589056, 30.4589056]"
223,Truist Stadium,21500,Greensboro,North Carolina,1981,Football,North Carolina A&T Aggies (NCAA),No Image,"[36.08171775, 36.08171775]"
224,Hornet Stadium,21195,Sacramento,California,1969,Football,Sacramento State Hornets (NCAA),No Image,"[38.55566975, 38.55566975]"
225,Louis Crews Stadium,21000,Huntsville,Alabama,1996,Football,Alabama A&M Bulldogs (NCAA),No Image,"[34.783607, 34.783607]"
226,Brooks Stadium,21000,Conway,South Carolina,2003,Football,Coastal Carolina Chanticleers (NCAA) Myrtle Beach Bowl (NCAA),No Image,"[33.7929764, 33.7929764]"
227,Chase Stadium,21000,Fort Lauderdale,Florida,2020,Soccer,Inter Miami CF (MLS),No Image,"[26.1932426, 26.1932426]"
228,Bobcat Stadium,20767,Bozeman,Montana,1973,Football,Montana State Bobcats (NCAA),No Image,"[45.6588891, 45.6588891]"
229,Q2 Stadium,20738,Austin,Texas,2021,Soccer,"Austin FC (MLS)
",https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Austin_FC_VS_FC_Dallas_by_cornfield948_%2820210830150401%29.jpg/150px-Austin_FC_VS_FC_Dallas_by_cornfield948_%2820210830150401%29.jpg,
230,Stambaugh Stadium,20630,Youngstown,Ohio,1982,Football,Youngstown State Penguins (NCAA),No Image,"[41.10948625, 41.10948625]"
231,Toyota Stadium,20500,Frisco,Texas,2005,Soccer,FC Dallas (MLS) Frisco Bowl (NCAA) NCAA Division I Football Championship Game (FCS) (NCAA),No Image,"[33.1549042, 33.1549042]"
232,Finley Stadium,20412,Chattanooga,Tennessee,1997,Football,Chattanooga Mocs (NCAA),No Image,"[35.03630525, 35.03630525]"
233,Lower.com Field,20371,Columbus,Ohio,2021,Soccer,Columbus Crew (MLS),No Image,"[39.9683881, 39.9683881]"
234,Hughes Stadium,20311,Sacramento,California,1928,Multi-purpose,,No Image,"[38.5407719, 38.5407719]"
235,America First Field,20213,Sandy,Utah,2008,Soccer,"Real Salt Lake (MLS)  Utah Royals FC (NWSL)
",https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Rio_Tinto_Stadium.jpg/150px-Rio_Tinto_Stadium.jpg,"[40.58295325, 40.58295325]"
236,Brown Stadium,20000,Providence,Rhode Island,1925,Football,Brown Bears (NCAA),No Image,"[41.8424794, 41.8424794]"
237,Happy State Bank Stadium,20000,Canyon,Texas,1959,Football,West Texas A&M Buffaloes (NCAA) Local high school teams,No Image,"[35.0119658, 35.0119658]"
238,Roy Kidd Stadium,20000,Richmond,Kentucky,1969,Football,Eastern Kentucky Colonels (NCAA),No Image,"[37.7344174, 37.7344174]"
239,Central Broward Park,20000,Lauderhill,Florida,1969,Multipurpose,"Floridians FC, Fort Lauderdale Fighting Squids",No Image,"[26.13890955, 26.13890955]"
240,War Memorial Stadium,20000,Wailuku,Hawaii,1969,Multipurpose,Local high school teams,No Image,
241,FIU Stadium,20000,Miami,Florida,1995,Football,"FIU Golden Panthers (NCAA)Miami FC (USL Championship)
",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/FIU_Stadium%2C_October_13%2C_2012.jpg/150px-FIU_Stadium%2C_October_13%2C_2012.jpg,"[25.7524884, 25.7524884]"
242,SeatGeek Stadium,20000,Bridgeview,Illinois,2006,Soccer,"Chicago Red Stars (NWSL)Chicago House AC (NISA)  Chicago Hounds (MLR)
",https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Toyota_Park%2C_9_March_2013.jpg/150px-Toyota_Park%2C_9_March_2013.jpg,"[41.7648089, 41.7648089]"
243,Audi Field,20000,"Washington, D.C.",District of Columbia,2018,Multipurpose,"D.C. United (MLS)Washington Spirit (NWSL)  DC Defenders (UFL)
",https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Audi_Field_June_25th.jpg/150px-Audi_Field_June_25th.jpg,"[38.8682612, 38.8682612]"
244,Historic Crew Stadium,19968,Columbus,Ohio,1999,Soccer,,No Image,"[40.00946795, 40.00946795]"
245,Bragg Memorial Stadium,19633,Tallahassee,Florida,1957,Football,Florida A&M Rattlers (NCAA),No Image,"[30.42607855, 30.42607855]"
246,Eddie G. Robinson Memorial Stadium,19600,Grambling,Louisiana,1983,Football,Grambling State Tigers (NCAA),No Image,
247,Memorial Stadium,19468,Bakersfield,California,1955,Multipurpose,Bakersfield Renegades (CCCAA),No Image,"[35.4071699, 35.4071699]"
248,Mesquite Memorial Stadium,19400,Mesquite,Texas,1977,Football,Local high school teams,No Image,"[32.76385265, 32.76385265]"
249,Allianz Field,19400,St. Paul,Minnesota,2019,Soccer,"Minnesota United FC (MLS)
",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Allianz_Field_-_MNUFC_Minnesota_United_st._Paul_Minnesota_MLS_%2840636734693%29.jpg/150px-Allianz_Field_-_MNUFC_Minnesota_United_st._Paul_Minnesota_MLS_%2840636734693%29.jpg,"[44.953139, 44.953139]"
250,Dana J. Dykhouse Stadium,19340,Brookings,South Dakota,2016,Football,"South Dakota State Jackrabbits (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Dana_J._Dykhouse_Stadium_2016.jpg/150px-Dana_J._Dykhouse_Stadium_2016.jpg,"[44.32104735, 44.32104735]"
251,Fargodome,18700,Fargo,North Dakota,1992,Multi-purpose,North Dakota State Bison (NCAA),No Image,"[46.90300955, 46.90300955]"
252,Subaru Park,18500,Chester,Pennsylvania,2010,Soccer,"Philadelphia Union (MLS)
",https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/PPL_Park_Interior_from_the_River_End_2010.10.02_%28cropped%29.jpg/150px-PPL_Park_Interior_from_the_River_End_2010.10.02_%28cropped%29.jpg,"[39.8329094, 39.8329094]"
253,UC Stadium at Laidley Field,18500,Charleston,West Virginia,1979,"Football, track",Charleston Golden Eagles (NCAA),No Image,
254,Children's Mercy Park,18467,Kansas City,Kansas,2011,Soccer,"Sporting Kansas City (MLS)Kansas City Current (NWSL)
",https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Farm_Aid_2011_-_Dave_Matthews_and_Tim_Reynolds_-_Livestrong_Sporting_Park_KCK.jpg/150px-Farm_Aid_2011_-_Dave_Matthews_and_Tim_Reynolds_-_Livestrong_Sporting_Park_KCK.jpg,"[39.1216438, 39.1216438]"
255,Hiram Bithorn Stadium,18264,San Juan,Puerto Rico,1962,Baseball,Cangrejeros de Santurce,No Image,"[18.41683725, 18.41683725]"
256,Dick's Sporting Goods Park,18061,Commerce City,Colorado,2007,Soccer,"Colorado Rapids (MLS)
",https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Dick%27s_Park.jpg/150px-Dick%27s_Park.jpg,"[39.8059455, 39.8059455]"
257,PayPal Park,18000,San Jose,California,2015,Soccer,"San Jose Earthquakes (MLS) Bay FC (NWSL)
",https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Avaya_Stadium%2C_1-7-15.jpg/150px-Avaya_Stadium%2C_1-7-15.jpg,"[37.35130865, 37.35130865]"
258,Ratliff Stadium,17931,Odessa,Texas,1982,Football,Local high school teams,No Image,"[31.9208888, 31.9208888]"
259,Cowboy Stadium,17610,Lake Charles,Louisiana,1965,Football,McNeese Cowboys (NCAA),No Image,"[30.1738721, 30.1738721]"
260,Robert W. Plaster Stadium,17500,Springfield,Missouri,1941,Football,Missouri State Bears (NCAA),No Image,"[37.1976101, 37.1976101]"
261,Stewart Stadium,17312,Ogden,Utah,1966,Football,Weber State Wildcats (NCAA),No Image,"[41.19189665, 41.19189665]"
262,Robert K. Kraft Field at Lawrence A. Wien Stadium,17000,New York,New York,1923,Multi-purpose,Columbia Lions (NCAA),No Image,
263,Warren McGuirk Alumni Stadium,17000,Hadley,Massachusetts,1965,Multi-purpose,UMass Minutemen (NCAA),No Image,"[42.3772457, 42.3772457]"
264,Harder Stadium,17000,Santa Barbara,California,1966,Soccer,UC Santa Barbara Gauchos (NCAA),No Image,"[34.4205207, 34.4205207]"
